社会主义新农村建设	中心环节	生产发展
纠正水、电解质、酸碱平衡	治疗	急性肠梗阻
纠正水、电解质、酸碱平衡	首要措施	急性肠梗阻
甲醛	具有	穿透性最差的特点
创伤性关节炎	导致	1-关节内粉碎性骨折
1-关节内粉碎性骨折	可能引起	创伤性关节炎
高热	不是	乙酰水杨酸类解热药的恰当处理方法
乙酰水杨酸类解热药	用于	治疗高热
血栓闭塞性脉管炎	表现为	间歇性跛行
心悸	症状	男性
气促	症状	男性
反复咯血	症状	男性
梨形心	症状	男性
肺水肿	可能的原因	处理症状（心悸、气促、反复咯血）
静脉注射	治疗方法	肺水肿
呋塞米	药物	静脉注射，减少肺水肿
胃中寒冷证	表现为	呃声沉缓, 舌苔白润, 得寒加重
厚朴	治疗	湿阻中焦
苍术	治疗	湿阻中焦
米泔样便	属于	霍乱的症状
不符合结核性胸膜炎	描述	多为增生性胸膜炎
急性心肌梗死	是	首要考虑诊断
急性心肌梗死	导致	胸闷
急性心肌梗死	导致	面色苍白
急性心肌梗死	患者	糖尿病（男性）
进食油腻早餐	导致	急性心肌梗死
胸闷	是	症状    急性心肌梗死
心率增快	是	症状    急性心肌梗死
低血压	是	症状    急性心肌梗死
心电图	属于	诊断方法
心电图	用于	发现心肌缺血
心电图	用于	诊断心绞痛
可疑合并胆囊结肠瘘的胆囊结石病人	禁忌证	腹腔镜胆囊切除术
慢性阻塞性肺病	导致	肺功能改变
肺功能改变	包含	一秒率降低
一秒率降低	属于	肺功能改变在慢性阻塞性肺病患者的表现
等渗性脱水	导致	高氯性酸中毒
输入大量等渗盐水	导致	等渗性脱水
鼻饲液	适宜温度	38-40℃
磷酸烯醇式丙酮酸羧激酶	参与	3-催化反应
磷酸烯醇式丙酮酸羧激酶	需要	GTP
GTP	参与	3-催化反应（作为磷酸烯醇式丙酮酸羧激酶的反应物）
川楝子	归经	肝
川楝子	归经	胃
川楝子	归经	小肠
川楝子	归经	膀胱经
蝉蜕	治疗	风热感冒引起的咽喉肿痛
蝉蜕	治疗	声音嘶哑
左心衰竭	鉴别点	支气管哮喘
左心衰竭	能够缓解	呼吸困难
支气管哮喘	鉴别点	左心衰竭
脾切除	治疗	慢性溶血性疾病
脾切除	无效于	慢性溶血性疾病
急性肾盂肾炎	治疗	抗生素
抗生素	血浓度	高
抗生素	尿浓度	高
抗生素	不属于	大环内酯类
藜芦	属于	药物
藜芦	内服剂量限定	0.3-0.9g
擦浴后测量体温	不是	高热病人用酒精擦浴的操作方法
间歇性无痛性肉眼全程血尿	症状	膀胱癌
间歇性无痛性肉眼全程血尿	可能是	膀胱癌的症状
中年男性	主体	可能的症状（膀胱癌）
静脉炎	属于	反应类型
静脉炎	在男性患者输液后	发生于
静脉炎	沿静脉走向	出现在手腕至肘上2/3处
静脉炎	症状包括	索状红线
静脉炎	症状包括	局部灼热疼痛
弥漫性肺泡损伤	早期病理改变	肺充血
弥漫性肺泡损伤	早期病理改变	透明膜形成
赤石脂	治疗	疮疡久溃
禹余粮	不用于	疮疡久溃
精神	转化	物质的力量
动作电位	是	可兴奋细胞兴奋的共同标志
过渡时期	属于	历史时期
个体经济	过渡到	社会主义集体经济
合作社经济	是	个体经济向社会主义集体经济过渡的形式
乳腺囊性增生	有	乳头血性溢液
乳腺囊性增生	有	乳头浆液性溢液
孕妇	禁用	泻下剂
产后	禁用	泻下剂
经期	禁用	泻下剂
中病即止	行为	泻下剂
饮食调理	建议	使用泻下剂
补益扶正之品	配伍	泻下剂
人的健康	是	整体护理的核心实质
天亮咳甚	属于	脾虚
心力衰竭	导致	死亡
心力衰竭	最常见的原因	感染性心内膜炎
甲状腺功能亢进病人	用药剂量增加	麻醉前
甲状腺功能亢进病人	酌增	麻醉前用药
深浅静脉间的瓣膜	功能损坏	下肢静脉交通支瓣膜
下肢静脉交通支瓣膜	功能不全	表现
心室腔	属于	肥厚型心肌病的心脏结构
左心室壁	显著肥厚	肥厚型心肌病的心脏结构
肥厚型心肌病	导致	左心室壁肥厚
创新	是	发展的基点
处理球部尿道损伤	导致	尿外渗
尿外渗部位	被	切开
尿外渗部位	引流到	无菌盐水或其他无菌溶液
中国革命	特点	武装的革命
中国革命	优点	武装的反革命
中国革命	反对	武装的反革命
小结节性肝硬化	属于	肝硬化
小结节性肝硬化	是最常见类型	病理类型
透明血栓	属于	毛细血管
透明血栓	最常见于	毛细血管
化疗药液	滴注方式	缓慢
化疗药液	注入方式	不可快速注入
Ⅰ度放疗局部反应	不包括	充血
马克思主义中国化理论成果	精髓	实事求是
膀胱	属于	恶性肿瘤
移行细胞瘤	是	膀胱的最常见的恶性肿瘤
热爱护理专业	不属于	无菌技术操作
香薷散	属于	祛暑解表方剂
香薷散	属于	化湿和中方剂
正常成年人	呼吸频率	16~20次/分钟
骨折远端	导致	愈合较慢
骨折远端	血液供应减弱	原因
胫骨下三分之一	属于	骨折远端
导尿管	插入	膀胱
导尿管	注入	亚甲蓝（美蓝）
腹壁伤口	排出	蓝色液体
蓝色液体	属于	区别膀胱腹壁瘘的结果
蓝色液体	属于	输尿管腹壁瘘的结果
膀胱腹壁瘘	区别于	输尿管腹壁瘘的方法
南京临时政府	企图承认	清政府与列强的所有不平等条约
南京临时政府	企图继续	清政府与列强的所有债务
南京临时政府	承认并继续	列强的条约和债务
人为阴善	体现	医学人道主义的特点
人为阴善	带有	神话迷信色彩
人为阴善	体现	鬼神报应的概念
腹外疝	好发于	腹股沟区
腹外疝	原因	腹内斜肌和腹横肌发育不良
心烦不寐	不符合	卫分证的表现
经济下行压力	根本原因	结构性问题
聚羧酸锌水门汀	适合作	永久性粘固材料
聚羧酸锌水门汀	用于	PFM桥试戴
聚羧酸锌水门汀	情况	基牙敏感
海风藤	具有功效	祛风通络
络石藤	具有功效	祛风通络
对侧肾萎缩	不是	肾损伤晚期的病理改变
哲学问题	包含	物质
哲学问题	包含	意识
物质	是	第一性问题
意识	是	第一性问题（在特定范围内）
腹膜外膀胱破裂	特征	导尿管易插入膀胱
腹膜外膀胱破裂	特征	造影剂漏至膀胱外盆腔内
腹膜外膀胱破裂	区别于	后尿道断裂
黄芪	属于	补阳还五汤
黄芪	作用	补益元气
炙甘草	在	苓桂术甘汤中
炙甘草	作用	调和诸药
开放性骨折现场	首选方法	加压包扎止血
农业资本家	属于	资本主义社会
土地所有者	属于	资本主义社会
农业资本家	争夺	土地所有者
土地所有者	争夺	农业资本家
农业资本家	形成	级差地租II
土地所有者	形成	级差地租II
农业资本家	获得	超额利润
土地所有者	获得	超额利润
社会规律	属于	人类意识活动
人类意识活动	实现	社会规律
麝香	配伍	寒闭药物
麝香	配伍	热闭药物
麝香	治疗	闭证神昏
经尿道激光碎石术	是	腔内治疗的首选方法
经尿道激光碎石术	治疗	膀胱结石
桃核承气汤	不含	枳实
输液量	能够	恢复血压
输液量	能够	改善体征
失血量	等于	输液量（以ml为单位）
失血量	导致	血压恢复
失血量	导致	体征改善
失血量	在	时间    45min内
失血量	在	情况    血压和体征改善范围内
失血量	大于等于	800ml
冰片	用于治疗	疮疡溃久不敛
冰片	用于治疗	水火烫伤
护理者	操作	清洁、消毒鼻前庭或外耳道
护理者	操作	放置干棉球
护理脑脊液漏患者	操作	错误做法
干棉球	位置	鼻前庭或外耳道
干棉球	状态	随湿随换
伤口近心端	属于	毒蛇咬伤现场急救
伤口近心端	使用	止血带
止血带	用于	伤口近心端的毒蛇咬伤现场急救
急性胰腺炎	引起	血清淀粉酶升高
血清淀粉酶升高	时间	发病24小时内
血清淀粉酶升高	特性	可测得
血清淀粉酶升高	关系	病变程度不一定成正比
中国社会主义法治建设	基本经验	坚持党的领导、人民当家作主与依法治国相统一
托盘类型	不影响	藻酸盐印模材料的凝固时间
口	目的	排出气体
口	动作	吹气
鼻孔	动作	松开
排出气体	通过	口和鼻孔
医师胡某	违反	《母婴保健法》规定
医师胡某	情节严重	/
医师胡某	面临	取消执业资格的处理
叩背	促使	痰液松动
泻下剂	属于	药物
