九一散	仅供	外用
胎儿	在时间期间	妊娠14周到妊娠6个月
胎儿	受到影响	药物使用不当
药物使用不当	导致	胎儿听力发育问题
药物使用不当	导致	胎儿视力发育问题
药物使用不当	导致	胎儿智力发育问题
大黄酸	具有	最强酸性
太子参	属于	石竹科
药物不良反应	是	非期望反应
药物不良反应	发生在	正常人用剂量下
药物不良反应	属于	药物反应
药物不良反应	被称为	非期望反应
药品监督管理部门	审查	异地发布药品广告备案申请
5日	时间	审查期限
药酒	含醇量测定	成品
酊剂	含醇量测定	成品
氯喹	治疗	间日疟症状及复发
氯喹	治疗	伯氨喹复发
伯氨喹	治疗	间日疟症状及复发
CMC	属于	临界胶束浓度
人参	体现	损其肺者，益其气
甘草	体现	损其肺者，益其气
《中国药典》(2015年版)	属于	药品质量检验标准
药品质量检验标准	是	《中国药典》(2015年版)
国药准字	属于	药品批准文号
药品批准文号	包含	1位字母
药品批准文号	包含	8位数字
香附	属于	饮片
香附	是	醋制品
香附	在处方中	直接写为正名
巴豆醇	属于	双酯类化合物
巴豆醇	具有	强烈刺激性
巴豆醇	具有	致癌成分
巴豆	含有	巴豆醇（双酯类化合物）
新加黄龙汤	属于	治疗方案
在阳明温病下	条件	情况
新加黄龙汤	针对	阳明温病下之不通
洛贝林	刺激	颈动脉体和主动脉体的化学感受器
颈动脉体和主动脉体的化学感受器	反射性地兴奋	延髓呼吸中枢
皮肤病	出现皮损增厚	慢性期
皮肤病	首选	软膏剂治疗
软膏剂	治疗	皮肤病的慢性期皮损增厚
淀粉浆	属于	片剂黏合剂
淀粉浆	常用于	制作片剂
喷他佐辛	属于	阿片受体部分激动药
普萘洛尔	阻断	β受体
普萘洛尔	降低	心肌氧耗量
普萘洛尔	改善	缺血区供血
硫代乙酰胺试剂	用于	检测重金属杂质
炒黄法	不属于	止血作用
三七	产地	广西,云南
洋金花	属于	药品
洋金花	成人用量	0.3g到0.6g
孕妇	禁用	雄黄
DDD	属于	英文缩写
DDD	表示	限定日剂量
维生素C	测定方法	碘量法
肾上腺皮质激素	属于	盐皮质激素
肾上腺皮质激素	分类	盐皮质激素
可可豆脂	具有	同质多晶的性质
舌下片	避免	肝脏首过作用
体外诊断试剂	简称	T（Test Kit）
川芎	包含	川芎嗪
川芎嗪	属于	成分
川芎嗪	透过	血脑屏障
川芎嗪	治疗	特定疾病（可以补充具体疾病名称）
pc.	属于	处方用语
pc.	表示	饭后
软膏剂	包含	无溶血性
浓度梯度	导致	扩散的推动力
大剂量阿司匹林	可用于	治疗
大剂量阿司匹林	治疗对象	风湿性关节炎
脾	损伤	饮食不调
饮食不调	易损伤	脾
常温	属于	存储条件
10至30℃	温度	存储范围
心室肌细胞	静息电位形成	主要由于K+外流
模序	属于	二级结构
模序	构成	特殊空间构象
模序	包括	肽段（两个或三个）
活性炭	在酸性溶液中发生	吸附作用
活性炭	可能的结果	胶溶
活性炭	可能的结果	脱吸附
甲硝唑	治疗	肠道内阿米巴病
甲硝唑	治疗	肠外阿米巴病
黄酮类化合物	属于	化合物
黄酮	在水中	溶解度最小
厥阴头痛	具有特征	巅顶头痛
克拉霉素	可能引起	听神经障碍
克拉霉素	不是	导致听神经障碍的药物
皱皮木瓜	具有部分	子房室瓤格
子房室瓤格	属于	皱皮木瓜的横切面特征
皱皮木瓜的横切面特征	被称为	堂子
得到药品差错反映	是	应对差错的重要原则
立即核对	是	处理药品差错的行动
相关处方	是	核对的对象
相关药品	是	核对的对象
前胡	属于	伞形科植物
改变服药时间	调整	药物使用时间
改变服药时间	减轻	胃部不适感
泛昔洛韦	治疗	25-病毒性腹泻
地西泮	不具有	双硫仑样反应
喷雾干燥法	用于	将热敏性药物溶液干燥成细颗粒
热敏性药物溶液	被	干燥成    细颗粒
喷雾干燥法	实施方法	热敏性药物溶液干燥
国家药品标准	明确	直接入药者为饮片
药物	可以溶化	溶化（烊化）
药物	选择	溶化（烊化）
治疗流脑	首选	磺胺药
磺胺药	不包括	血药浓度高（D）
二杠茸	属于	虎口部位
氯喹	治疗	疟疾临床症状
急诊处方	属于	淡黄色
麻黄	治疗	肺热咳喘
石膏	治疗	肺热咳喘
麻黄	与	石膏
槟榔	适合切	薄片
小柴胡汤	主治	伤寒少阳证
小柴胡汤	治疗	往来寒热
相对湿度控制	对应	贮存仓库
相对湿度控制	目标	70%以下
相对湿度控制	关系	一般炮制品仓库
黄柏	属于	洁净药材
黄柏	去栓皮	药材
五味子	主要成分	联苯环辛烯型木脂素
普萘洛尔	不增加	糖原分解
麦冬	不含	菊糖
焦四仙	不属于	焦枳壳
皮肤瘙痒	症状	症见
疹出色红	症状	症见
抓破渗液	症状	症见
苔白或黄	症状	症见
脉浮数	症状	症见
消风散	治疗方式	宜选用
诃子	治疗	声音嘶哑
鞭毛	属于	细菌
鞭毛	具有	自主运动的能力
鞭毛	结构	帮助
广藿香药材粉末	显微特征	叶肉组织中有间隙腺毛和草酸钙针晶
氯丙嗪	与	甲氧氯普胺
氯丙嗪	联合用药	不正确
甲氧氯普胺	联合用药	不正确
磁选法	用于	除去饮片中的铁屑
盐酸毛果芸香碱	属于	M胆碱受体激动剂
药师	处理	药品错误或患者信息误发
药师	按照	单位差错处理预案
药师	上报	部门负责人
补骨脂	具有	补肾壮阳作用
补骨脂	具有	纳气平喘作用
补骨脂	属于	豆科
补骨脂	属于	干燥成熟果实
远志	功效	宁心安神
远志	功效	祛痰开窍
药品评价中心	属于	国务院药品监督管理部门
药品评价中心	负责	已批准生产上市药品再评价
药品评价中心	技术职能	药品再评价
橙皮苷	属于	黄酮苷类化合物
已有国家标准的中药	属于	新药注册申请
天然药物	属于	新药注册申请
新药注册申请	不允许	已有国家标准的中药, 天然药物
面色	属于	主水湿内停证
主水湿内停证	表现为	黄色
主水湿内停证	表现为	黑色
无菌操作法	是	制备无菌制剂的方法
无菌操作法	在	无菌控制条件下
无菌操作法	的	方法
肾阳虚	治疗	益火补土法
国家发展药品方针政策	不属于	保障人民用药安全
阿胶	属于	便于调剂制剂的方法
阿胶	具有	降低滋腻之性的特性
阿胶蛤粉炒制	是	阿胶制作的方法
聚乙烯醇滴眼液	治疗	干眼症
真溶液型液体药剂	不属于	溶胶剂
药物临床试验机构	执行	药物临床试验质量管理规范
克林霉素	治疗	革兰阳性球菌感染
对青霉素和头孢菌素过敏者	使用	克林霉素
围手术期	情境	使用克林霉素预防感染
北苍术	形态	疙瘩块状
北苍术	特征	断面无白毛状结晶析出
外感风寒湿邪	属于	病症
九味羌活汤	治疗	外感风寒湿邪
公安机关	负责查处	麻醉药品非法流入渠道
党参	增强作用	健脾止泻
党参	炒制	增强作用
甘油明胶	分类	水溶性栓剂基质
甘油明胶	含有	明胶
甘油明胶	含有	甘油
沉淀法	属于	分离方法
沉淀法	降低溶解度	在水中
脂酰CoA	脱氢	β-氧化过程
脂酰CoA	加水	β-氧化过程
脂酰CoA	再脱氢	β-氧化过程
脂酰CoA	硫解	β-氧化过程
半合成脂肪酸酯	无适宜熔点	属性
半合成脂肪酸酯	易酸败	性质
头孢哌酮	导致	出血不良反应
秘方	属于	中药处方
秘方	秘不外传	有效
秘方	涉及	中药
微晶纤维素	分类	粉末直接压片稀释剂
微晶纤维素	分类	粉末直接压片黏合剂
微晶纤维素	分类	粉末直接压片崩解剂
广藿香	具有	显微特征
广藿香	叶肉组织中包含	间隙腺毛
广藿香	薄壁细胞中含有	草酸钙针晶
人参	属于	汤剂
人参	另煎	方法
青皮	功效	疏肝破气, 消积化滞
妊娠期	属于	时间阶段
时间阶段	在	妊娠第20日起到妊娠3个月
时间阶段	导致	胎儿畸形风险高
蛤蚧	具有	背部特点
蛤蚧	背部特点	灰黑色或银灰色
蛤蚧	背部特点	黄白色斑点
蛤蚧	背部特点	灰绿色斑点
乳香	包含	树胶
乳香	百分比包含	27%到35%
黄芪粉末	不含	草酸钙结晶
中药饮片调剂人员	负责	处方确认(双签字)
存在用药安全问题的处方	需要	处方医生确认(双签字)
处方医生	确认(双签字)	中药饮片调剂人员
处方	需要	重新开具处方
中药饮片调剂人员	可执行动作	重新开具处方
区市级药品监督管理部门	发放	零售企业《药品经营许可证》
摊晾法	属于	阴干法
摊晾法	是	阳干法的一种
中药	在	摊晾法中干燥
陈皮	是	芳香性药材
陈皮	适用	摊晾法干燥
组织间隙或体腔内液体过多	定义	水肿
法定热原检查法	属于	家兔法
左旋四氢巴马汀	属于	延胡索
左旋四氢巴马汀	具有	镇静催眠作用
黄芪	属于	当归补血汤
黄芪	君药	当归补血汤
阿司匹林片	可用	剩余酸碱滴定法
阿司匹林片	测定	含量
尿液	属性	成人晨尿比重
成人晨尿比重	参考范围	1.015~0.025
薄层色谱法	属于	《中国药典》
薄层色谱法	用于	物质检查
制备空胶囊	包含	二氧化钛
二氧化钛	作用	遮光剂
二氧化钛	属于	制备空胶囊的成分
信石	主要成分	三氧化二砷（As203）
压片前处理	不包括	加填充剂
表面活性剂	形成胶团的作用	增溶作用的来源
密蒙花	存放位置	斗架高层
密蒙花	使用频率	不常用
阴阳偏衰	原则	补其不足
蓼大青叶	含有	靛蓝
蓼大青叶	含有	靛玉红
金银花	属于	仙方活命饮组成的药物
陈皮	属于	仙方活命饮组成的药物
雄黄	属于	牛黄解毒丸
雄黄	有毒	中药
苏合香	具有	开窍醒神的作用
苏合香	治疗	闭证神昏
苏合香	效果稍弱	相较于麝香
普鲁卡因胺	主要用于治疗	室性心律失常
牡丹皮	含有	簇晶
OD	代表	左眼
炼制蜂蜜	温度	116~118℃
糖酵解	产生	乳酸
包装箱	不属于	常用调剂工具
干姜	作为	辅料
干姜	用量	每100kg药物3kg
干姜	在姜炙法中	使用
盐杜仲	炮制方法	中火
羟丙甲纤维素	全称	HPMC
丁香	属于	花蕾
丁香	入药部位	花蕾
酶	结合	不可逆抑制剂
酶	活性中心	必需基团
不可逆抑制剂	结合	活性中心的必需基团
不可逆抑制剂	发挥作用	酶
6-APA	是	原料
6-APA	用于	半合成青霉素
白扁豆	具有	白眉特征
炼蜜	作为	止咳平喘类药材炮制的辅料
艾叶	含有	含萜类及内酯类毒性成分
省级药品监督管理部门	负责	对本行政区域内提供互联网药品信息服务活动的网站实施监督管理
自然铜	具有属性	散瘀接骨能力
红霉素	通过酶抑制作用	增加茶碱血药浓度
q6h	表示	每6小时一次
葶苈子	功效	泻肺平喘
葶苈子	功效	利水消肿
西红花	属于	药材
西红花	特征	柱头喇叭状且内侧有短缝
西红花	特征	浸水染成黄色
牡丹皮	属于	安徽
牡丹皮	属于	山东
牡丹皮	属于	四川
牡丹皮	属于	河南
人参三醇型皂苷	含有	强心活性
人参三醇型皂苷	属于	人参成分
人参三醇型皂苷	是	最强活性成分
贝母瓜蒌散	具有	功能
贝母瓜蒌散	功能	润肺清热
贝母瓜蒌散	功能	理气化痰
HMG-CoA还原酶抑制剂	属于	治疗血脂异常药物
HMG-CoA还原酶抑制剂	针对	高胆固醇血症患者
高胆固醇血症患者	首选	治疗药物（HMG-CoA还原酶抑制剂）
石膏	属于	要药
石膏	治疗	肺胃气分实热
庆大霉素	不显著影响	茶碱的血药浓度
脯乳期	可能导致	婴儿生长发育抑制
糖皮质激素	能够	导致婴儿生长发育抑制
胸满而痛	症状	枳实薤白桂枝汤的病症
喘息咳唾	症状	枳实薤白桂枝汤的病症
短气	症状	枳实薤白桂枝汤的病症
气从胁下冲逆	症状	枳实薤白桂枝汤的病症
上攻心胸	症状	枳实薤白桂枝汤的病症
舌苔白腻	症状	枳实薤白桂枝汤的病症
脉沉弦或紧	症状	枳实薤白桂枝汤的病症
枳实	药物	枳实薤白桂枝汤的成分
薤白	药物	枳实薤白桂枝汤的成分
桂枝	药物	枳实薤白桂枝汤的成分
水蒸气蒸馏	提取方式	挥发性成分
水蒸气蒸馏	提取方式	水煎液
企业	批准	省、自治区、直辖市人民政府药品监督管理部门
企业	从事	麻醉药品和第一类精神药品批发
省、自治区、直辖市人民政府药品监督管理部门	审批	企业
普萘洛尔	导致	糖原分解减少
敞锅煅	适用于	含结晶水的易熔矿物类药
敞锅煅	方法	煅法
长期类风湿关节炎患者	出现	喘息
长期类风湿关节炎患者	药物过敏	吲哚美辛
吲哚美辛	导致	喘息反应
肾上腺素	无效于	喘息治疗
肾上腺素	治疗目的	喘息症状
时间	属于	阴中之阴
后半夜	属于	时间
后半夜	是	阴中之阴
药品	具有	专属性
药品	具有	两重性
药品	重要性	质量
药品	具有	时限性
药品	不包括	高科技性
泽泻	特征	块茎类球形、椭圆形或卵圆形
泽泻	特征	表面有横向环状浅沟纹
泽泻	特征	表面有须根痕
泽泻	特征	底部有瘤状芽痕
泽泻	断面特征	有细孔
医院药学	中心任务	为临床服务
医院药学	中心任务	为患者服务
抗菌药	属于	非处方药目录
抗菌药	不得	凭医师处方销售
糖酵解	产生	乳酸
药品集中招标采购	遵循原则	不包括
药品集中招标采购	由	各地政府分管领导
药品集中招标采购	负责	所有相关工作
各地政府分管领导	全面负责	药品集中招标采购的相关工作
知母	增强滋阴降火作用	盐炙黄柏后的
盐炙黄柏	增强滋阴降火作用	知母经过
中药饮片处方	遵循	君、臣、佐、使的顺序排列规则
呕吐病人	适合服用	汤剂
呕吐病人	冷处理	汤剂
专用账册	属于	麻醉药品和第一类精神药品
专用账册	保存期限	不少于5年
苍术	属于	平胃散
苍术	具有作用	燥湿运脾
甲硝唑	不具有	抗结核杆菌作用
滑石粉	在包衣工序中使用	形成粉衣层
贝母瓜蒌散	不包含	苦杏仁
阿米卡星	导致	永久性听力减退
阿米卡星	由于	药物本身作用
硫酸亚铁	治疗	缺铁性贫血
磷霉素	属于	三元环结构药物
磷霉素	是	药物
顺铂	可能导致	不可逆性肾小管坏死
肉豆蔻	用于	煨制以减小副作用
牛黄	属于	药材
牛黄	药用部位	胆结石
肝肝首过效应大的药物	影响生物利用度	缓释制剂
肝肝首过效应大的药物	影响生物利用度	控释制剂
肝肝首过效应大的药物	影响生物利用度	普通制剂
耳环石斛	具有属性	茎螺旋形
耳环石斛	具有属性	茎弹簧状
耳环石斛	咀嚼特征	有黏性
丙二醇	可以作为	化学气体灭菌剂
淡味中药	作用	渗湿利水
温胆汤	主治	湿痰微有化热之象
长效青霉素	制备	溶解度小的盐
长效青霉素	制备	溶解度小的酯
水溶液	加热到	浊点
水溶液	包含	非离子表面活性剂
非离子表面活性剂	导致	溶液变浑浊
胃蛋白酶合剂	属于	高分子溶液剂（胶浆剂）
未取得《药品经营许可证》	违法经营	药品
未取得《药品经营许可证》	违法生产	药品
未取得《药品经营许可证》	违法销售	药品
违法所得	被没收	无
违法生产、销售的药品	被罚款	货值金额
违法生产、销售的药品	罚款倍数	2-5倍
莲子	具有功效	益肾固精, 补脾止泻, 止带
芡实	具有功效	益肾固精, 补脾止泻, 止带
聚乙二醇	作为	基质
聚乙二醇	溶于	水
聚乙二醇	具有	强吸湿性
长期使用	可能导致	皮肤脱水干燥
国务院药品监督管理部门	属于	国家药品注册管理部门
体质	影响	正气
体质	最主要的因素	正气
格列吡嗪	属于	第二代磺酰脲类药物
溴丙胺太林	包含	季铵盐
溴丙胺太林	不易通过	血脑屏障
肽键	由	两个氨基酸
肽键	通过	脱水缩合
肽键	化学式为	Ca1-CH-O-H-Ca2
砂仁	主产地	广东
含油脂多的饮片	易导致	泛油
香豆素母核	包含	α,β-不饱和内酯环
半夏	不具有	滋阴的功效
白术	不具有	滋阴的功效
天麻	不具有	滋阴的功效
延胡索	被处理方式	醋炙
延胡索	生物碱	溶出增加的客体
牛黄	治疗	痰热闭阻心窍
牛黄	治疗	神昏口噤
别嘌呤醇	治疗	痛风症
首剂用量	依	药物作用特点
首剂用量	确定	药物作用特点
首剂用量	针对	个体（患者）
人员	具有	药士以上专业技术职务任职资格
人员	负责	摆药、加药混合调配
利巴韦林	属于	抗病毒药物
利巴韦林	孕妇禁用	药物
小建中汤	由	桂枝汤倍用白芍并加饴糖化裁而成
HLB范围	属于	适宜O/W型乳剂制备的表面活性剂
适宜O/W型乳剂制备的表面活性剂	具有HLB范围	7〜9
药品经营企业	变更	《药品经营许可证》许可事项
原发证机关	作出决定	药品经营企业变更许可事项的期限
15个工作日	属于	原发证机关作出决定的期限
巴戟天	属于	巴戟
巴戟天	正名	巴戟
分子量较大	不属于	蛋白质性质
无等电点	属于	蛋白质性质
药学专业技术人员	查询	药品剂型
药学专业技术人员	查询	药品规格
药学专业技术人员	查询	药品数量
黑三棱	属于	黑三棱科
黑三棱	原植物	黑三棱
紫苏叶	在药方中	半夏厚朴汤
紫苏叶	作用	行气
紫苏叶	作用	理肺
紫苏叶	作用	舒肝
紫苏叶	作用	解郁
紫苏叶	不包括	散寒
提高浸出效率错误措施	包含	将药村粉碎得越细越好
效价	衡量	药物作用强弱
效价	是	评价指标
茜草素	具有	羟基分布在一侧苯环上
药物吸收	达到	血浆稳态浓度
药物吸收	平衡	消除速度
药物消除	与	血浆稳态浓度平衡
绵马贯众	组织切片可见	细胞间隙腺毛
不合格药品	标记为	红色色标
不合格药品	储存于	药品批发企业库房
红色色标	关联于	不合格药品
阿司匹林	导致	胃肠道损害
阿司匹林	属于	非甾体抗炎药
恩波吡维铵	无	抗蛔虫疗效
pc.	属于	处方书写中的英文缩写
饭后	时间	pc.出现的时间
酸	定义	能提供质子（H+）的物质
碱	定义	能接受质子（H+）的物质
四逆散	功能	透邪解郁, 疏肝理气
哮喘症状	不适合治疗	β受体阻断药
氯化钾注射液	属于	药物
氯化钾注射液	给药方式	静脉滴注
氯化钾注射液	稀释后	使用
难溶性固体药物	需要检查	溶出度
近端小管	属于	肾小管
近端小管	重吸收	水
近端小管	重吸收	葡萄糖
近端小管	重吸收	氨基酸
白矾	增强作用	收涩敛疮, 止血化腐
白矾	炮制后	增强作用
EC(乙基纤维素)	属于	水不溶性载体材料
EC(乙基纤维素)	在固体分散体制备中	常用
小剂量碘剂	促进	甲状腺激素合成
大剂量碘剂	抑制	甲状腺激素释放
错误说法	陈述	煎药一般应"先文火后武火
手太阴经脉	属于	经脉
手太阴经脉	与	手阳明经脉
手阳明经脉	属于	经脉
手阳明经脉	与	手太阴经脉
比沙可啶	治疗	急性和慢性便秘
比沙可啶	治疗	习惯性便秘
表观分布容积	定义	药物在体内分布达到动态平衡时体内药量与血药浓度的比值
伞形花内酯	属于	简单香豆素类
牡丹皮	形状	筒状
舒巴坦钠	成人剂量	4.0g/日
经典恒温法	用于	计算药物半衰期
经典恒温法	通过	lgK对1/T图得到直线
lgK对1/T图	得到	直线
直线	可求得	t值
直线	不基于	Fick公式
启脾丸	属于	中成药
启脾丸	治疗	健脾和胃
硬脂酸镁	用作	润滑剂
硬脂酸镁	属于	片剂制备成分
硬脂酸镁	治疗目的	片剂制备
不可先煎的饮片	属于	气味芳香类
分子量大	影响	吸收速度
分子量	越大	吸收越慢
观察钩体	使用方法	暗视野显微镜法
新霉素	属于	局部使用药
新霉素	治疗	皮肤黏膜感染
盐黄柏	治疗	阴虚发热
盐黄柏	治疗	骨蒸劳热
天花粉	切制规格	厚片
决明子	具有	清肝明目作用
决明子	具有	润肠通便作用
蓼大青叶粉末	镜检可见	草酸钙簇晶
蓼大青叶粉末	镜检可见	蓝色色素
维生素C	性质	不显酸性
微波干燥法	适用	颗粒较小的中药粉末
环孢素	抑制	普伐他汀代谢
环孢素	通过	肝细胞色素酶CYP3A4
普伐他汀	被	环孢素抑制
普伐他汀	代谢	肝细胞色素酶CYP3A4
药品品种	属于	药品分类管理依据
药品规格	属于	药品分类管理依据
适应证	属于	药品分类管理依据
剂量	属于	药品分类管理依据
给药途径	属于	药品分类管理依据
国务院药品监督管理部门	批准	新发现和国外引种药材
胶剂	水分含量	不超过0.15
《中国药典》	属于	药品名称规范
《中国药典》	包含	中文名
《中国药典》	包含	汉语拼音名
《中国药典》	包含	英文名
醛固酮	调节	水钠平衡
血容量变化	影响	醛固酮(R-A-A)系统调节
执业药师	尊重	同仁
执业药师	密切协作	同仁
补骨脂	特征不包括	味辛甜
补骨脂	特征不包括	嚼之黏牙
苯甲酸钠	测定方法	双相滴定法
胰岛素	灭菌	滤过除菌法
胰岛素	灭菌方式	滤过除菌
大黄炭	降低抗凝血酶Ⅲ活性	作用
铁盐	用作	盐酸试剂
铁盐	用作	硫氰酸铵试剂
硝苯地平	属于	钙通道阻滞药
别嘌醇	抑制	尿酸生成
国家基本药物工作委员会	负责	确定
国家基本药物工作委员会	制定	国家基本药物制度框架
磁石	主治	心神不宁
磁石	主治	惊悸
磁石	主治	失眠
磁石	主治	癫痫
磁石	主治	头晕目眩
磁石	主治	肾虚气喘
磁石	不包括	风热客肺
磁石	不包括	气逆咳喘
羟丙基β环糊精	包合	伊曲康唑
伊曲康唑	属于	羟丙基β环糊精包合物
伊曲康唑	解决	主药溶解于水的问题
碘解磷定	能够	恢复胆碱酯酶活性
碘解磷定	用于	解救有机磷酸酯中毒
急诊处方	属于	印刷用纸
急诊处方	颜色	淡黄色
药品上市后临床试验	包含	不良反应监察
药品上市后临床试验	包含	治疗药物监测
药品上市后临床试验	包含	药物相互作用
药品	撤销	批准文号
药品	撤销	进口药品注册证书
药品	效果不确定	客体
药品	不良反应大	客体
药品	危害人体健康	客体
急性化脓性中耳炎	局部治疗	抗生素滴耳液
急性化脓性中耳炎	局部治疗	3%过氧化氢溶液
急性化脓性中耳炎	局部治疗	酚甘油滴耳液
急性化脓性中耳炎	鼓膜穿孔前状态	抗生素滴耳液
急性化脓性中耳炎	鼓膜穿孔后状态	3%过氧化氢溶液
急性化脓性中耳炎	鼓膜穿孔后状态	酚甘油滴耳液
雷尼替丁	属于	抗消化性溃疡药
博来霉素	治疗	阴茎鱗状上皮癌
泡腾颗粒	含有	碳酸氢钠
泡腾颗粒	含有	有机酸
泡腾颗粒	遇水会	释放气体
二巯丙醇	治疗	砒霜中毒
洛伐他汀	属于	调血脂药
炮附子	属于	实脾散
炙甘草	属于	实脾散
六味地黄丸	属于	三补配三泻方剂
六味地黄丸	是	以三补为主的方剂
维拉帕米	属于	钙通道阻滞药
维拉帕米	是	第一个开发的
尼美舒利	禁用	12岁以下儿童
尼美舒利	属于	非甾体抗炎药
尼美舒利	治疗	儿童禁用情况
溶出度检查	不属于	一般杂质检查项目
万氏牛黄清心丸	不属于	非处方药
牛膝	治疗	胃火上炎所致齿痛、口疮
牛膝	首选药物	胃火上炎所致齿痛、口疮
药品批发企业	销售	乙类非处方药
药品批发企业	标明	供货单位名称
药品批发企业	标明	药品名称
药品批发企业	标明	批号
药品批发企业	标明	数量
药品批发企业	标明	价格
马钱子	属于	妊娠禁用药品
紫外线照射法	属于	药物制剂室空气消毒方法
紫外线照射法	常用	方法
紫外线	治疗	空气消毒（微生物）
条件	属于	稳定性考察方法
